物料编码,物料全称,物料简称,上级物料编码,级别,是否为叶子结点,排序号
0300000099000000,石英砂,石英砂,,1,FALSE,5
0339140083416027,精制石英砂\14-20目,精制石英砂\14-20目,0300000099000000,2,TRUE,10
0339140083416028,精制石英砂\7-14目,精制石英砂\7-14目,0300000099000000,2,TRUE,15
0339140086083272,精制石英砂\2-4mm,精制石英砂\2-4mm,0300000099000000,2,TRUE,20
0300000099000001,氧化铝瓷球,氧化铝瓷球,,1,FALSE,25
0375360084680089,活性氧化铝瓷球\Φ3 ≥90%,活性氧化铝瓷球\Φ3 ≥90%,0300000099000001,2,TRUE,30
0375360084740316,活性氧化铝瓷球\Φ6 ≥90%,活性氧化铝瓷球\Φ6 ≥90%,0300000099000001,2,TRUE,35
0375360086058331,惰性氧化铝瓷球\Φ6 ≥90%,惰性氧化铝瓷球\Φ6 ≥90%,0300000099000001,2,TRUE,40
0375360086058332,惰性氧化铝瓷球\Φ13 ≥90%,惰性氧化铝瓷球\Φ13 ≥90%,0300000099000001,2,TRUE,45
0375360086058333,惰性氧化铝瓷球\Φ25 ≥90%,惰性氧化铝瓷球\Φ25 ≥90%,0300000099000001,2,TRUE,50
0375360086070897,惰性氧化铝瓷球\Φ3 ≥90%,惰性氧化铝瓷球\Φ3 ≥90%,0300000099000001,2,TRUE,55
0375360086146052,惰性氧化铝瓷球\Φ20 ≥90%,惰性氧化铝瓷球\Φ20 ≥90%,0300000099000001,2,TRUE,60
0400000099000002,煤炭,煤炭,,1,FALSE,65
0400000099000003,动力煤,动力煤,0400000099000002,2,FALSE,70
0400000099000004,动力烟煤,烟煤,0400000099000003,3,TRUE,75
0400000099000005,动力无烟煤,无烟煤,0400000099000003,3,TRUE,80
0400000099000006,动力高卡煤,高卡煤,0400000099000003,3,TRUE,85
0400000099000007,动力低卡煤,低卡煤,0400000099000003,3,TRUE,90
0409060086000015,动力用气肥煤5500\0.6≤St.ar<1.0 8≤Mt<12,动力用气肥煤5500\0.6≤St.ar<1.0 8≤Mt<12,0400000099000003,3,TRUE,95
